Question,Answer
What do you offer in social calendar ?,"We offer a full social calendar tailored to individual needs and preferences. From book club, cultural and educational programs, to journeys off campus, card games and culinary classes, a host of adventures awaits! Plus, forget about cooking! Here, residents delight in three delicious daily meals (plus snacks) in a tastefully appointed dining room where thoughtful servers assist residents with daily, restaurant-style menu choices.Our lovely campus setting is complemented by many amenities designed to make life easy and fun. You’ll enjoy community patios for al fresco dining, a full library, a beauty/barber salon on site, a private dining room for parties and gatherings . . . and much more."
Do you have the option of shared and private accommodation ?,"Residents have the option of a private or shared personal care apartment, all with individually controlled heating and air conditioning. Equipped with a galley kitchen, each apartment boasts a sliding glass door opening onto an outside patio or balcony from which residents can enjoy the peaceful setting. The open and airy apartments also include custom drapery and wall-to-wall carpeting. We offer the choice of a studio or one-bedroom apartment."
Do you have a Wellness and Rehab program ?,"Provided by Genesis Rehabilitation, our rehabilitation services are a key component of our wellness focus. At Twining Village, we take a comprehensive approach to therapy designed to make you stronger, improve muscle tone and coordination, increase self-management and prevention of symptoms through education. Whether it’s joint replacement or orthopedic rehabilitation following an illness, injury or trauma, we help patients revitalize their lives, returning them to the activities they love. Our team of highly skilled therapists offers comprehensive short-term rehabilitation services personalized to individual needs. Utilizing a team approach that includes skilled nursing, medical, rehabilitation, dietary and discharge planning services, we help residents achieve their goals and maximize their independence. Our rehabilitation team also treats a multitude of diagnoses including arthritis, pain management, post-CVA, post-surgery, post-illness, strokes, fractures, neurological disorders, fall history, gait dysfunction, balance deficits, Alzheimer’s disease or dementia, cardiovascular events, joint replacements and other orthopedic conditions."
What is the cost of Home Care?,"We accept many insurance providers, including Medicare, Medicaid, Workers Compensation. We will validate insurance eligibility, and work with patients without insurance or with partial coverage to see that you get the care that you need."
What is your PAS service ?,"We participate PAS because it is a very useful community program. The PAS program enables an individual to be cared for by family members and friends. That's right! There are programs that will allow you to be cared for by your loved ones and these loved one's receive pay through the program. Yes, they are paid for helping you. We can help you understand these programs and handle the payroll process and care oversight. We can hire and train your personal friend or family member to be your caregiver."
I am in need of some medical equipment at home. Can you help ?,Thought we don't sell medical equipment we coordinate medical equipment and supplies with other providers.
"What is the ""WOW"" factor that you offer to clients ?",UP-LIGHTING is the new craze that can make a room pop with color. We use safe and brilliant LED lighting . We can do static color or our wireless LED lighting that can give you practically any color you want and we can change the color on the fly as they are computer controlled.
How long in advance should I book my DJ services?,"You’ll want to book a reputable DJ as soon as you book your church or hall. Most of our DJs are booked anywhere from six months to two years in advance. If you wait too long, you may be forced to use another company who will send a less than professional DJ, who was available only because no one else wanted him!"
How do I know when it is time to move to assisted living?,"It can be difficult to decide on the right time to make the move, and the right time varies for each person. Generally, assisted living is ideal for those who need some help in their daily lives, but don’t require advanced medical care. If you or your loved one finds it challenging to perform daily living tasks, has mobility issues, needs access to medical care, or wants to live in a place that offers social activities with other like-minded seniors, it might be time to try assisted living. At each of our communities, trained staff members can help make the transition easier."
What is an assisted living community for seniors?,"An assisted living community is a safe and secure environment where seniors can go to live a relatively independent lifestyle but also receive support with certain daily activities. These activities may include bathing, dressing, medication administration, mobility and more. Our trained staff members are on hand to help you perform these tasks safely while still respecting your independence. Our assisted living communities also provide excellent accommodations for seniors, as well as an active and social environment where seniors can meet other people in the same stage of life."
